epoch,train_loss,train_f1,eval_loss,eval_f1,duration
1,0.6913939185183624,0.5174332916596917,0.681824631690979,0.5309141042780748,0:00:41.000545
2,0.6487202325771594,0.6563117911993639,0.6188324141502379,0.6683990641711229,0:00:40.402368
3,0.6158841848373415,0.6895158970120526,0.5979373192787171,0.6971173128342246,0:00:40.524602
4,0.6064011886202056,0.7028153901280548,0.5971608638763427,0.6972326203208558,0:00:40.468297
5,0.5968259280097894,0.7088470612236356,0.6030731105804443,0.6920671791443851,0:00:40.772022
6,0.5956138881116079,0.7100652305825242,0.5920384788513182,0.702256851604278,0:00:40.940000
7,0.593110982200195,0.7121471689822566,0.5836288571357727,0.7148145053475935,0:00:41.119501
8,0.589590719033932,0.7174657892534315,0.5909859204292296,0.7007185828877006,0:00:40.776550
9,0.5890672027037062,0.7185443562730165,0.5818526077270507,0.7131124665775401,0:00:40.849349
10,0.5852861435248935,0.7231433869685303,0.5811979126930238,0.710579044117647,0:00:40.708989
11,0.584724902592856,0.7195526317166051,0.5792760443687439,0.7127590240641709,0:00:40.284290
12,0.5832328488086832,0.7230701529544695,0.5825140047073365,0.708860294117647,0:00:40.449934
13,0.5850929823415031,0.7188850252134247,0.5779012155532837,0.7157035427807487,0:00:40.546985
14,0.5830136563243536,0.7248934837420489,0.5767571878433229,0.7181366978609628,0:00:40.490697
15,0.5815243397293421,0.7232434298627386,0.5905974292755125,0.7067471590909091,0:00:40.584018
16,0.5806511275727174,0.7265098630523936,0.5746433901786806,0.718119986631016,0:00:40.566532
17,0.5784461616442121,0.7302804339638435,0.5808606576919556,0.7147660427807487,0:00:40.295899
18,0.5791202829829577,0.7295876532683293,0.5808368563652038,0.7147902740641712,0:00:40.267281
19,0.576023893109683,0.7327050029293606,0.5788165163993836,0.712528409090909,0:00:47.057220
20,0.5748995953592759,0.7360021682499167,0.5833739185333254,0.711557486631016,0:00:50.733704
21,0.5734725800053824,0.7332591620982591,0.5764814305305479,0.7173629679144383,0:00:47.858666
22,0.5727884969834626,0.7386510163834953,0.5823296880722046,0.7098888703208555,0:00:40.550212
23,0.5725122561742522,0.7384143135880481,0.5792756271362304,0.7163118315508021,0:00:40.780015
24,0.5735650807619097,0.7393052184466019,0.5767374992370606,0.7201679478609625,0:00:40.611740
25,0.5706388153906525,0.7423032358972209,0.5757482409477234,0.7224298128342246,0:00:40.646377
26,0.5697356714256878,0.7439300772095749,0.578004479408264,0.7220095254010694,0:00:40.527674
