epoch,train_loss,train_f1,eval_loss,eval_f1,duration
1,0.6980054743331056,0.5019439707482423,0.6933992838859558,0.48500835561497335,0:05:47.739969
2,0.687189973633865,0.542955672497489,0.6496941709518432,0.667610294117647,0:05:42.904497
3,0.659463025886437,0.6225718347212924,0.6026906847953796,0.7019276403743315,0:05:25.078488
4,0.6271712821105432,0.6835911344994974,0.5736626720428467,0.7153241978609627,0:05:21.608153
5,0.5865593228874538,0.7277538604787412,0.5700011467933656,0.7203893716577541,0:05:58.375898
6,0.5528946524036337,0.7606895505523938,0.5951537537574768,0.715192179144385,0:05:58.310979
7,0.5023724842688138,0.802506499518748,0.6179229223728181,0.7224465240641711,0:05:24.407445
8,0.45332103376758515,0.8346830405716437,0.6862144875526428,0.7044443516042781,0:05:59.741790
9,0.408099253629816,0.8626309711876466,0.7814698553085327,0.6992304478609627,0:05:43.847255
10,0.3688630520783621,0.88138770610144,0.8120532631874083,0.7040909090909091,0:05:42.167411
